1,2,3,4,5,6,7,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
106.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0
120.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
130.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
0.0,4.0,14.0,0.0,0.0,0.0,8.0,0.0
22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
199.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
259.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
319.0,0.0,9.0,0.0,0.0,0.0,87.0,0.0
403.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
487.0,0.0,0.0,0.0,23.0,0.0,14.0,0.0
556.0,0.0,8.0,0.0,43.0,0.0,39.0,0.0
628.0,0.0,28.0,0.0,69.0,0.0,70.0,0.0
746.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0
872.0,0.0,6.0,13.0,160.0,0.0,0.0,6.0
998.0,0.0,0.0,27.0,248.0,0.0,0.0,20.0
1092.0,0.0,0.0,37.0,326.0,0.0,0.0,30.0
11.0,0.0,6.0,60.0,8.0,0.0,0.0,54.0
32.0,8.0,46.0,0.0,24.0,0.0,2.0,0.0
60.0,22.0,0.0,11.0,60.0,0.0,0.0,0.0
0.0,36.0,0.0,25.0,0.0,0.0,0.0,0.0
